ID,G,sigma2,num_samples,M,rho,NMC,mean_emp_loss,std_emp_loss,mean_displacement,std_displacement,mean_excess_loss,std_excess_loss
1774868862.0721881,2-modal,0.005,500,2,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,2,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,3,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,4,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,5,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,6,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.05600000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.067,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.07800000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.08900000000000001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,7,0.1,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,8,0.001,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,8,0.012,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,8,0.023000000000000003,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,8,0.034,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
1774868862.0721881,2-modal,0.005,500,8,0.045000000000000005,100,0.0,0.0,0.0,0.0,-0.009451165251383155,-0.009451165251383155
